id,token_address,symbol,pair_id,original_label,horizon,return_pct,max_adverse_excursion_pct,max_favorable_excursion_pct,liquidity_at_scan,liquidity_at_horizon,volume_at_scan,volume_at_horizon,price_change_1h_at_scan,failure_reasons,diagnosis_text,fix_recommendation,created_at
1009,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,bLend,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Research Candidate,1h,-74.25122749590834,-74.25122749590834,0.0,162907.74,60908.98,832235.58,988516.68,126.0,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","bLend failed after being labeled Research Candidate. Main likely causes: overextension failure, liquidity drop failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
1008,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,bLend,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Research Candidate,30m,-74.25122749590834,-74.25122749590834,0.0,162907.74,60908.98,832235.58,988516.68,126.0,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","bLend failed after being labeled Research Candidate. Main likely causes: overextension failure, liquidity drop failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
1007,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,bLend,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Research Candidate,15m,-74.25122749590834,-74.25122749590834,0.0,162907.74,60908.98,832235.58,988516.68,126.0,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","bLend failed after being labeled Research Candidate. Main likely causes: overextension failure, liquidity drop failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
1006,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,bLend,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Research Candidate,2h,-75.2986906710311,-75.2986906710311,0.0,162907.74,58737.47,832235.58,990224.97,126.0,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","bLend failed after being labeled Research Candidate. Main likely causes: overextension failure, liquidity drop failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
1005,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Paper Trade Candidate,15m,-37.69549952122566,-37.69549952122566,0.0,147854.62,111886.47,1977867.47,2140332.76,28.43,"[""Timing failure""]",LO0P failed after being labeled Paper Trade Candidate. Main likely causes: timing failure.,Keep as research only until more stable post-detection evidence appears.,2026-05-12T07:17:16+00:00
1004,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Paper Trade Candidate,1h,-37.631662942866264,-37.631662942866264,0.0,147854.62,112184.83,1977867.47,2243555.19,28.43,"[""Timing failure""]",LO0P failed after being labeled Paper Trade Candidate. Main likely causes: timing failure.,Keep as research only until more stable post-detection evidence appears.,2026-05-12T07:17:16+00:00
1003,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Paper Trade Candidate,30m,-37.631662942866264,-37.631662942866264,0.0,147854.62,112184.83,1977867.47,2243555.19,28.43,"[""Timing failure""]",LO0P failed after being labeled Paper Trade Candidate. Main likely causes: timing failure.,Keep as research only until more stable post-detection evidence appears.,2026-05-12T07:17:16+00:00
1002,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,bLend,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Research Candidate,4h,-76.96399345335516,-76.96399345335516,0.0,162907.74,55199.56,832235.58,992506.29,126.0,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","bLend failed after being labeled Research Candidate. Main likely causes: overextension failure, liquidity drop failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
1001,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Paper Trade Candidate,2h,-45.32397063517396,-45.32397063517396,0.0,147854.62,103595.59,1977867.47,2373909.28,28.43,"[""Timing failure""]",LO0P failed after being labeled Paper Trade Candidate. Main likely causes: timing failure.,Keep as research only until more stable post-detection evidence appears.,2026-05-12T07:17:16+00:00
1000,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Research Candidate,4h,-36.42410015649453,-36.42410015649453,22.574334898278558,131148.65,100545.5,1109338.23,2441759.75,106.0,"[""Overextension failure"",""Timing failure""]","LO0P failed after being labeled Research Candidate. Main likely causes: overextension failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
999,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Paper Trade Candidate,4h,-41.94063198212575,-41.94063198212575,0.0,147854.62,107785.1,1977867.47,2626539.56,28.43,"[""Timing failure""]",LO0P failed after being labeled Paper Trade Candidate. Main likely causes: timing failure.,Keep as research only until more stable post-detection evidence appears.,2026-05-12T07:17:16+00:00
998,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,bLend,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Research Candidate,8h,-55.196399345335514,-74.2430441898527,0.0,162907.74,93556.17,832235.58,1034868.84,126.0,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","bLend failed after being labeled Research Candidate. Main likely causes: overextension failure, liquidity drop failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
997,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Research Candidate,8h,-40.76682316118936,-40.76682316118936,22.574334898278558,131148.65,95792.78,1109338.23,2828360.92,106.0,"[""Overextension failure"",""Timing failure""]","LO0P failed after being labeled Research Candidate. Main likely causes: overextension failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
996,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Paper Trade Candidate,8h,-92.40983083306735,-92.40983083306735,0.0,147854.62,46038.89,1977867.47,2864481.04,28.43,"[""Liquidity drop failure"",""Timing failure""]","LO0P failed after being labeled Paper Trade Candidate. Main likely causes: liquidity drop failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
995,0x47647E481cB71D6b4475D6dd0065b34ce8Ca8844,jo,base:0x87e3456cdd8874c999569f6382b1901a5e468cc78c2609e6b4397fb92886e374,Research Candidate,4h,-56.59962287869264,-56.59962287869264,0.0,136530.89,83131.58,946130.57,2546168.37,67.52,"[""Liquidity drop failure"",""Timing failure""]","jo failed after being labeled Research Candidate. Main likely causes: liquidity drop failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
994,0x47647E481cB71D6b4475D6dd0065b34ce8Ca8844,jo,base:0x87e3456cdd8874c999569f6382b1901a5e468cc78c2609e6b4397fb92886e374,Research Candidate,2h,-56.59962287869264,-56.59962287869264,0.0,136530.89,83131.58,946130.57,2546168.37,67.52,"[""Liquidity drop failure"",""Timing failure""]","jo failed after being labeled Research Candidate. Main likely causes: liquidity drop failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
993,0x47647E481cB71D6b4475D6dd0065b34ce8Ca8844,jo,base:0x87e3456cdd8874c999569f6382b1901a5e468cc78c2609e6b4397fb92886e374,Research Candidate,1h,-56.59962287869264,-56.59962287869264,0.0,136530.89,83131.58,946130.57,2546168.37,67.52,"[""Liquidity drop failure"",""Timing failure""]","jo failed after being labeled Research Candidate. Main likely causes: liquidity drop failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
992,0x47647E481cB71D6b4475D6dd0065b34ce8Ca8844,jo,base:0x87e3456cdd8874c999569f6382b1901a5e468cc78c2609e6b4397fb92886e374,Research Candidate,30m,-56.59962287869264,-56.59962287869264,0.0,136530.89,83131.58,946130.57,2546168.37,67.52,"[""Liquidity drop failure"",""Timing failure""]","jo failed after being labeled Research Candidate. Main likely causes: liquidity drop failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
991,0x47647E481cB71D6b4475D6dd0065b34ce8Ca8844,jo,base:0x87e3456cdd8874c999569f6382b1901a5e468cc78c2609e6b4397fb92886e374,Research Candidate,15m,-56.59962287869264,-56.59962287869264,0.0,136530.89,83131.58,946130.57,2546168.37,67.52,"[""Liquidity drop failure"",""Timing failure""]","jo failed after being labeled Research Candidate. Main likely causes: liquidity drop failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
990,0x47647E481cB71D6b4475D6dd0065b34ce8Ca8844,jo,base:0x87e3456cdd8874c999569f6382b1901a5e468cc78c2609e6b4397fb92886e374,Research Candidate,8h,-47.39157762413577,-47.39157762413577,0.0,136530.89,93386.0,946130.57,2876276.67,67.52,"[""Liquidity drop failure"",""Timing failure""]","jo failed after being labeled Research Candidate. Main likely causes: liquidity drop failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
989,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,bLend,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Research Candidate,24h,-71.7430441898527,-74.2430441898527,0.0,162907.74,65228.86,832235.58,244293.12,126.0,"[""Overextension failure"",""Liquidity drop failure"",""Volume fade failure"",""Timing failure""]","bLend failed after being labeled Research Candidate. Main likely causes: overextension failure, liquidity drop failure, volume fade failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
988,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Paper Trade Candidate,24h,-92.40983083306735,-92.40983083306735,0.0,147854.62,46038.89,1977867.47,618507.67,28.43,"[""Liquidity drop failure"",""Volume fade failure"",""Timing failure""]","LO0P failed after being labeled Paper Trade Candidate. Main likely causes: liquidity drop failure, volume fade failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
987,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,LO0P,base:0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,Research Candidate,24h,-90.69640062597809,-90.69640062597809,22.574334898278558,131148.65,46038.89,1109338.23,618507.67,106.0,"[""Overextension failure"",""Liquidity drop failure"",""Timing failure""]","LO0P failed after being labeled Research Candidate. Main likely causes: overextension failure, liquidity drop failure, timing failure.",Require delayed-entry survival before promotion and reduce max allowed 1h move.,2026-05-12T07:17:16+00:00
986,0x47647E481cB71D6b4475D6dd0065b34ce8Ca8844,jo,base:0x87e3456cdd8874c999569f6382b1901a5e468cc78c2609e6b4397fb92886e374,Research Candidate,24h,-93.84978001257072,-93.84978001257072,0.0,136530.89,21516.55,946130.57,1944533.14,67.52,"[""Liquidity drop failure"",""Timing failure""]","jo failed after being labeled Research Candidate. Main likely causes: liquidity drop failure, timing failure.",Require stronger liquidity retention and reject fast liquidity fade.,2026-05-12T07:17:16+00:00
