id,token_address,pair_id,scan_time,hard_reject,qualifies_high_risk_momentum,reject_reasons,risk_score,opportunity_score,final_label,risk_category,opportunity_category,model_version,wallet_signal_score,wallet_signal_label,final_research_score,ten_x_score,ten_x_label,ten_x_reasons
2,0x34Ad856501D7566c06FdD8614DB9af3ff351Bd91,base:0x7167292c71f541a1f1d722c1db55dc61775cc327d114f9d0a433a0d58cf85a77,2026-05-07T11:34:07+00:00,0,0,[],30.0,50.0,Watchlist,Medium Risk,Weak Opportunity,V2,,,,69.0,Moderate 10x Research Setup,"[""liquidity_big_enough_but_not_too_large"",""many_recent_buyers"",""positive_buy_pressure"",""risk_score_clean_enough"",""size_missing"",""very_hot_volume_possible_manipulation"",""website_present"",""young_but_not_instant_launch""]"
4,0x6e6A3b8B8376eA65B92aD3F93Fe046C186e56764,base:0xf133B3D59AfE36897fDa1BE7e4b8111EfAf848E3,2026-05-07T11:34:07+00:00,1,0,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",55.0,11.0,Reject,High Risk,Low Opportunity,V2,,,,27.0,No 10x Setup,"[""community_channel_present"",""not_pumping_yet"",""risk_score_trackable"",""size_missing"",""website_present"",""x_or_twitter_present"",""young_but_not_instant_launch""]"
5,0x26Aa6B2C2d9fcD83D42e6e32059743805a0D4aA1,base:0xffd679508685a599a3f29f78a57ede189e73809ad539230196bd1039baa6b4e4,2026-05-07T11:34:07+00:00,1,0,"[""unique_buyers_below_10""]",43.0,14.0,Reject,Medium Risk,Low Opportunity,V2,,,,41.0,Weak 10x Research Setup,"[""not_pumping_yet"",""risk_score_trackable"",""size_missing"",""strong_volume_vs_liquidity"",""website_present"",""x_or_twitter_present"",""young_but_not_instant_launch""]"
8,0x6e6A3b8B8376eA65B92aD3F93Fe046C186e56764,base:0xf133B3D59AfE36897fDa1BE7e4b8111EfAf848E3,2026-05-07T11:58:20+00:00,1,0,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",55.0,11.0,Reject,High Risk,Low Opportunity,V2,,,,27.0,No 10x Setup,"[""community_channel_present"",""not_pumping_yet"",""risk_score_trackable"",""size_missing"",""website_present"",""x_or_twitter_present"",""young_but_not_instant_launch""]"
9,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,2026-05-07T12:58:38+00:00,0,0,[],20.0,63.0,Watchlist,Lower Risk,Moderate Opportunity,V2,,,,76.0,Strong 10x Research Setup,"[""dexscreener_boosted"",""liquidity_big_enough_but_not_too_large"",""moderate_opportunity_score"",""not_pumping_yet"",""positive_buy_pressure"",""risk_score_clean_enough"",""size_missing"",""some_recent_buyers"",""strong_volume_vs_liquidity"",""website_present"",""x_or_twitter_present""]"
10,0xAB3AF86f7E31A36b3df1848bD92301Df91f63B07,base:0xdedce6aa7096497571d417d45b02e841bf0c467f57dba260bdf7454ac4489abd,2026-05-07T12:58:38+00:00,1,0,"[""liquidity_missing""]",45.0,34.0,Reject,Medium Risk,Low Opportunity,V2,,,,32.0,No 10x Setup,"[""many_recent_buyers"",""not_pumping_yet"",""risk_score_trackable"",""size_missing"",""volume_liquidity_missing"",""website_present"",""young_but_not_instant_launch""]"
11,0x6e6A3b8B8376eA65B92aD3F93Fe046C186e56764,base:0xf133B3D59AfE36897fDa1BE7e4b8111EfAf848E3,2026-05-07T12:58:38+00:00,1,0,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",55.0,11.0,Reject,High Risk,Low Opportunity,V2,,,,27.0,No 10x Setup,"[""community_channel_present"",""not_pumping_yet"",""risk_score_trackable"",""size_missing"",""website_present"",""x_or_twitter_present"",""young_but_not_instant_launch""]"
12,0x3B84CaCB7F66f9Ab9caca4Ac92112E9dB1821E02,base:0x317354a6eb91877686afae7319c8d828c3ff675cf76c3d074eb365b34c242d6f,2026-05-07T14:05:11+00:00,0,0,"[""score_below_v2_thresholds""]",41.0,44.0,Reject,Medium Risk,Weak Opportunity,V2,,,,65.0,Moderate 10x Research Setup,"[""liquidity_big_enough_but_not_too_large"",""many_recent_buyers"",""positive_buy_pressure"",""risk_score_trackable"",""size_missing"",""strong_volume_vs_liquidity"",""very_new_high_noise"",""x_or_twitter_present""]"
14,0xe1A4c41579756da0c981Ccf8C3cc0aab686f7324,base:0x60a376c0669667d9d7a583198970b4a9283a3f765d3e9aa54801ee67e4664dc9,2026-05-07T14:05:11+00:00,0,0,[],38.0,50.0,Watchlist,Medium Risk,Weak Opportunity,V2,,,,75.0,Strong 10x Research Setup,"[""liquidity_big_enough_but_not_too_large"",""many_recent_buyers"",""risk_score_trackable"",""size_missing"",""strong_buy_pressure"",""strong_volume_vs_liquidity"",""x_or_twitter_present"",""young_but_not_instant_launch""]"
15,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,2026-05-07T14:05:11+00:00,0,0,[],20.0,63.0,Watchlist,Lower Risk,Moderate Opportunity,V2,,,,76.0,Strong 10x Research Setup,"[""dexscreener_boosted"",""liquidity_big_enough_but_not_too_large"",""moderate_opportunity_score"",""not_pumping_yet"",""positive_buy_pressure"",""risk_score_clean_enough"",""size_missing"",""some_recent_buyers"",""strong_volume_vs_liquidity"",""website_present"",""x_or_twitter_present""]"
16,0x3B84CaCB7F66f9Ab9caca4Ac92112E9dB1821E02,base:0x317354a6eb91877686afae7319c8d828c3ff675cf76c3d074eb365b34c242d6f,2026-05-07T15:12:09+00:00,1,0,"[""unique_buyers_below_10""]",35.0,36.0,Reject,Medium Risk,Weak Opportunity,V2,,,,64.0,Moderate 10x Research Setup,"[""low_but_trackable_liquidity"",""not_pumping_yet"",""risk_score_clean_enough"",""size_missing"",""strong_buy_pressure"",""strong_volume_vs_liquidity"",""x_or_twitter_present"",""young_but_not_instant_launch""]"
17,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,2026-05-07T15:12:09+00:00,0,0,[],20.0,63.0,Watchlist,Lower Risk,Moderate Opportunity,V2,,,,73.0,Moderate 10x Research Setup,"[""dexscreener_boosted"",""liquidity_big_enough_but_not_too_large"",""moderate_opportunity_score"",""positive_buy_pressure"",""risk_score_clean_enough"",""size_missing"",""some_recent_buyers"",""strong_volume_vs_liquidity"",""website_present"",""x_or_twitter_present""]"
18,0x072f4B2f239e3e470A496792623adDC08b0fb6b0,base:0x9c686dc54c91031abb31d8a1bfaeb2cba645e5689645bb977017628220e824f3,2026-05-07T15:12:09+00:00,0,0,"[""score_below_v2_thresholds""]",43.0,42.0,Reject,Medium Risk,Weak Opportunity,V2,,,,68.0,Moderate 10x Research Setup,"[""liquidity_big_enough_but_not_too_large"",""many_recent_buyers"",""positive_buy_pressure"",""risk_score_trackable"",""size_missing"",""strong_volume_vs_liquidity"",""young_but_not_instant_launch""]"
19,0x2B66E3046ce3B41414A2B34f56DcA4553AE1d5C5,base:0xc97c3170e142b056f6feea1238a77f024b40df56d57d3a9c03e4c82f22097513,2026-05-07T15:12:09+00:00,0,0,[],38.0,47.0,Watchlist,Medium Risk,Weak Opportunity,V2,,,,71.0,Moderate 10x Research Setup,"[""liquidity_big_enough_but_not_too_large"",""many_recent_buyers"",""positive_buy_pressure"",""risk_score_trackable"",""size_missing"",""strong_volume_vs_liquidity"",""x_or_twitter_present"",""young_but_not_instant_launch""]"
22,0x1Ce6c8e9c88fe8f365FF420ac83fa120bdC92675,base:0x607fe84926594f273d5dff3090d42480e436ab1dcecda1ab753c504babb0c19c,2026-05-07T16:12:22+00:00,0,0,[],43.0,47.0,Watchlist,Medium Risk,Weak Opportunity,V2,0.0,No Useful Wallet Signal,37.75,69.0,Moderate 10x Research Setup,"[""liquidity_big_enough_but_not_too_large"",""many_recent_buyers"",""risk_score_trackable"",""size_missing"",""strong_buy_pressure"",""strong_volume_vs_liquidity"",""very_new_high_noise"",""x_or_twitter_present""]"
23,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,2026-05-07T16:12:22+00:00,0,0,[],20.0,60.0,Watchlist,Lower Risk,Moderate Opportunity,V2,,,,73.0,Moderate 10x Research Setup,"[""dexscreener_boosted"",""liquidity_big_enough_but_not_too_large"",""moderate_opportunity_score"",""positive_buy_pressure"",""risk_score_clean_enough"",""size_missing"",""some_recent_buyers"",""strong_volume_vs_liquidity"",""website_present"",""x_or_twitter_present""]"
24,0x22aaB1803d9B5ED57c4E34090884867F5fdaFbb7,base:0x2331812ae8a2aa0b93d84635b7367fa24515b031cef3059a30ac2adee7266b1a,2026-05-07T17:12:28+00:00,0,0,[],25.0,61.0,Watchlist,Lower Risk,Moderate Opportunity,V2,10.0,No Useful Wallet Signal,51.75,80.0,Strong 10x Research Setup,"[""liquidity_big_enough_but_not_too_large"",""many_recent_buyers"",""moderate_opportunity_score"",""risk_score_clean_enough"",""size_missing"",""strong_buy_pressure"",""very_hot_volume_possible_manipulation"",""website_present"",""x_or_twitter_present"",""young_but_not_instant_launch""]"
