token_address,pair_id,final_label_at_scan,return_pct,horizon,reject_reasons,liquidity_at_scan,liquidity_at_horizon,volume_at_scan,volume_at_horizon,became_illiquid,rugged,volume_disappeared
0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,152.9155,15m,[],89528.4300,156639.1200,401263.4400,5028260.3000,0,0,0
0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,152.9155,1h,[],89528.4300,156639.1200,401263.4400,5028260.3000,0,0,0
0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,152.9155,4h,[],89528.4300,156639.1200,401263.4400,5028260.3000,0,0,0
0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,148.6152,24h,[],89528.4300,155922.9400,401263.4400,7216794.3100,0,0,0
0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,base:0xad69cf15d7b9645ed79c87434e33b81a81b27ee6bece8c813ada2fbd39bc0824,Watchlist,100.4766,8h,[],60921.0000,103993.5000,988516.6700,1068217.1900,0,0,0
0x2d296830975789E8C0Bf5bfCc9982D331A07DB07,base:0x45724d20f2711c24065fe4fbc451438cbe680a17bb1703e9afd6b6fdea029947,Watchlist,-95.3085,8h,[],59939.6900,8457.0200,226553.1700,267940.9800,1,1,0
0x2d296830975789E8C0Bf5bfCc9982D331A07DB07,base:0x45724d20f2711c24065fe4fbc451438cbe680a17bb1703e9afd6b6fdea029947,Watchlist,-95.2930,15m,[],59939.6900,8484.3700,226553.1700,267936.6500,1,1,0
0x2d296830975789E8C0Bf5bfCc9982D331A07DB07,base:0x45724d20f2711c24065fe4fbc451438cbe680a17bb1703e9afd6b6fdea029947,Watchlist,-95.2930,30m,[],59939.6900,8484.3700,226553.1700,267936.6500,1,1,0
0x2d296830975789E8C0Bf5bfCc9982D331A07DB07,base:0x45724d20f2711c24065fe4fbc451438cbe680a17bb1703e9afd6b6fdea029947,Watchlist,-95.2930,1h,[],59939.6900,8484.3700,226553.1700,267936.6500,1,1,0
0x2d296830975789E8C0Bf5bfCc9982D331A07DB07,base:0x45724d20f2711c24065fe4fbc451438cbe680a17bb1703e9afd6b6fdea029947,Watchlist,-95.2930,2h,[],59939.6900,8484.3700,226553.1700,267936.6500,1,1,0
