id,token_address,symbol,pair_id,source_label,scan_time,tradable_score,tradable_tier,research_window,latest_horizon,latest_return_pct,best_return_pct,worst_return_pct,liquidity_usd,volume_24h_usd,buy_ratio,pair_age_hours,price_change_1h_pct,risk_score,opportunity_score,ten_x_score,pump_strength_score,trap_risk_score,survival_score,liquidity_retention_pct,volume_retention_pct,reasons,risk_notes,action_note,created_at
36,0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,Meridia,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,2026-05-08T23:11:59+00:00,79.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,148.61516034985422,152.91545189504373,53.134110787172006,89528.43,401263.44,0.5579584775086506,1.1183388027777779,176.0,38.0,47.0,71.0,100.0,17.0,91.94,174.16025278227266,1798.5177792424845,"[""enough_real_volume"",""balanced_buy_pressure"",""strong_post_detection_survival"",""low_trap_risk"",""acceptable_model_risk"",""healthy_momentum_pattern""]","[""liquidity_is_only_moderate"",""already_strongly_pumped"",""still_young""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
35,0xf3bCBe4ee118ECC57c17820a2F03f46A750aB319,NWARS,base:0xDd7fb99FB36579c19f2baeDce86492D75251dE5E,Watchlist,2026-05-08T18:45:56+00:00,84.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,29.279357878206234,29.279357878206234,-4.62397487349504,214136.98,306603.77,0.53,2.0675070986111113,-17.12,25.0,48.0,70.0,82.0,15.0,59.55,113.69883893944895,26.651942342391937,"[""enough_liquidity"",""enough_real_volume"",""balanced_buy_pressure"",""survived_after_detection"",""low_trap_risk"",""lower_model_risk"",""healthy_momentum_pattern""]","[""falling_at_detection"",""still_young"",""volume_retention_weak""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
34,0x021e7b57fDc6475743d389df6736a5a130486dAe,WOON,base:0x189de6f66a1915412e32779fdf6c091311e95821be58833375e97e3f69a6bdb9,High-Risk Momentum Watchlist,2026-05-10T23:10:58+00:00,84.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",8h,36.8575624082232,88.0323054331865,15.418502202643158,90112.67,347353.29,0.6143589743589744,1.1099514191666666,157.0,38.0,57.0,81.0,100.0,17.0,82.44,120.6620667215831,533.8585996983071,"[""enough_real_volume"",""balanced_buy_pressure"",""strong_post_detection_survival"",""low_trap_risk"",""acceptable_model_risk"",""good_opportunity_score"",""healthy_momentum_pattern""]","[""liquidity_is_only_moderate"",""already_strongly_pumped"",""still_young""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
33,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,2026-05-07T14:05:11+00:00,85.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,-12.441064638783272,20.076045627376416,-12.441064638783272,277421.29,652796.98,0.6071428571428571,746.8777928683334,-7.51,20.0,63.0,76.0,72.0,15.0,45.15714285714286,93.89876674569571,24.923444039217216,"[""deep_liquidity"",""strong_real_volume"",""balanced_buy_pressure"",""low_trap_risk"",""lower_model_risk"",""good_opportunity_score"",""healthy_momentum_pattern""]","[""survival_still_weak"",""volume_retention_weak"",""latest_return_is_negative""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
32,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,2026-05-07T19:44:40+00:00,90.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,-11.729530818767254,21.05182459368291,-11.729530818767254,272512.69,663548.74,0.676056338028169,752.5359913636112,-0.69,20.0,63.0,80.0,69.0,15.0,45.15714285714286,95.59010628092219,24.51959896721377,"[""deep_liquidity"",""strong_real_volume"",""acceptable_buy_pressure"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score"",""healthy_momentum_pattern""]","[""survival_still_weak"",""volume_retention_weak"",""latest_return_is_negative""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
31,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,2026-05-11T04:38:27+00:00,90.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",8h,3.215739484396196,3.215739484396196,0.4477611940298498,818539.52,100521.47,0.4166666666666667,20505.1283967975,-1.96,20.0,54.0,40.0,20.0,15.0,56.55,102.46411682114017,141.8352716091398,"[""deep_liquidity"",""enough_real_volume"",""survived_after_detection"",""low_trap_risk"",""not_overextended"",""lower_model_risk""]","[""buy_pressure_is_not_balanced""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
30,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,2026-05-08T03:55:43+00:00,92.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,14.158239143367046,56.55363870711878,14.158239143367046,242285.65,579650.61,0.8214285714285714,760.7201430608334,1.94,20.0,57.0,74.0,64.0,15.0,73.3,107.51572369226162,28.06854460137633,"[""enough_liquidity"",""strong_real_volume"",""strong_post_detection_survival"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score""]","[""buy_pressure_is_not_balanced"",""volume_retention_weak""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
29,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,2026-05-07T19:30:25+00:00,95.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,-11.33528415216386,21.59248421376867,-11.33528415216386,271372.15,663586.22,0.6388888888888888,752.2985021297222,-0.18,20.0,60.0,76.0,69.0,15.0,45.15714285714286,95.9918584128843,24.51821407623564,"[""deep_liquidity"",""strong_real_volume"",""balanced_buy_pressure"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score"",""healthy_momentum_pattern""]","[""survival_still_weak"",""volume_retention_weak"",""latest_return_is_negative""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
28,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,DEGEN,base:0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,Watchlist,2026-05-11T08:38:26+00:00,95.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",4h,2.7556396055653076,2.7556396055653076,2.7556396055653076,821214.01,107734.37,0.8,20509.128057141945,0.29,20.0,62.0,56.0,31.0,5.0,58.35,102.13041664985721,132.3392896807212,"[""deep_liquidity"",""enough_real_volume"",""survived_after_detection"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score""]","[""buy_pressure_is_not_balanced""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
27,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Research Candidate,2026-05-09T17:14:32+00:00,100.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,4.52397029034437,6.6171505739365255,-6.3740715732613085,296688.76,254728.82,0.5370370370370371,798.0336426891668,32.22,20.0,74.0,89.0,70.0,5.0,54.49285714285715,101.71850123341375,97.75806286858314,"[""deep_liquidity"",""enough_real_volume"",""balanced_buy_pressure"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score"",""healthy_momentum_pattern""]","[""survival_still_weak""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
26,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Paper Trade Candidate,2026-05-10T18:09:26+00:00,100.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",8h,0.24207213749696255,2.4570321955942775,-9.767610748002909,312920.66,252562.89,0.6626506024096386,822.9486408763888,6.75,20.0,78.0,100.0,68.0,5.0,55.35,97.41490382897697,75.83897618529784,"[""deep_liquidity"",""enough_real_volume"",""acceptable_buy_pressure"",""survived_after_detection"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score"",""healthy_momentum_pattern""]","[""risk_still_exists""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
25,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Research Candidate,2026-05-09T18:07:27+00:00,100.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,12.011930585683306,12.011930585683306,-0.6236442516268981,296754.48,246266.25,0.5657894736842105,798.9157382144444,-0.18,20.0,65.0,88.0,57.0,5.0,55.77857142857143,105.44766164945514,102.55684244186934,"[""deep_liquidity"",""enough_real_volume"",""balanced_buy_pressure"",""survived_after_detection"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score""]","[""risk_still_exists""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
24,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Research Candidate,2026-05-09T19:35:41+00:00,100.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,3.3697135061391714,7.708049113233284,-5.252387448840379,296912.52,226264.7,0.6767676767676768,800.386237865,-1.06,20.0,71.0,92.0,60.0,5.0,55.77857142857143,99.33723239424191,118.9460220706102,"[""deep_liquidity"",""enough_real_volume"",""acceptable_buy_pressure"",""survived_after_detection"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score""]","[""risk_still_exists""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
23,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Research Candidate,2026-05-10T17:15:12+00:00,100.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",8h,7.002583979328159,9.366925064599485,-3.165374677002586,301787.36,249017.96,0.6896551724137931,822.0448795911111,-3.83,20.0,68.0,92.0,60.0,5.0,56.85,101.00865722142902,76.9185925384659,"[""deep_liquidity"",""enough_real_volume"",""acceptable_buy_pressure"",""survived_after_detection"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score""]","[""risk_still_exists""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
22,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,SR,base:0x93e7c445d77E6506b77C869C469e4305c15c075B,Watchlist,2026-05-07T21:16:07+00:00,100.0,Tradable Research Candidate,"Small-move research: 5-30% possible range, not promised.",24h,-9.009009009009016,24.782677414256348,-9.009009009009016,266416.28,670096.33,0.5833333333333334,754.0600983280556,0.88,20.0,57.0,70.0,60.0,15.0,57.3,97.77749693074311,24.28001508380146,"[""deep_liquidity"",""strong_real_volume"",""balanced_buy_pressure"",""survived_after_detection"",""low_trap_risk"",""not_overextended"",""lower_model_risk"",""good_opportunity_score""]","[""volume_retention_weak""]","Research only. If traded manually, use strict risk management; this is not a buy signal.",2026-05-12T10:34:51+00:00
