wallet_address,chain,first_seen_at,last_seen_at,wallet_label,wallet_quality_score,wallet_risk_score,tokens_traded,realized_exits,win_rate,median_realized_return_pct,avg_realized_return_pct,total_realized_pnl_usd,rug_exposure_rate,low_liquidity_trade_rate,quick_dump_rate,first_minute_entry_rate,avg_hold_time_minutes,biggest_win_contribution_pct,suspicious_behavior_score,notes,updated_at
0xa0167211189f6321c1d009e25959d8d35c89e138,base,2026-05-09T15:15:11.000Z,2026-05-09T15:15:11.000Z,Unproven Wallet,30.0,30.0,1,1,0.0,-2.2216915394121477,-2.2216915394121477,-0.14854686292155606,0.0,0.0,1.0,0.0,0.0,0.0,33.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xa32d6d092a23370d4bc7bc9e9c079821d9714b6d,base,2026-05-09T15:12:05.000Z,2026-05-09T15:12:05.000Z,Unproven Wallet,30.0,23.0,2,2,0.0,-12.418400032311574,-12.418400032311574,-12.862490920286831,0.0,0.0,1.0,0.0,8.216666666666667,0.0,42.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x8d47ba07ff9ccccf58c7e8810ee42c0dc8b8b123,base,2026-05-09T15:09:41.000Z,2026-05-09T15:09:41.000Z,Unproven Wallet,24.0,38.0,9,4,0.5,-41.73093230701771,28.04739684232515,-390.4366504866854,0.2222222222222222,0.041666666666666664,0.75,0.0,106.79166666666666,77.88316980172195,44.58333333333333,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x501ef174b66883ba40f92e6fb24bfb49331d4d4c,base,2026-05-09T15:03:03.000Z,2026-05-09T15:03:03.000Z,Unproven Wallet,19.0,38.0,9,6,0.16666666666666666,-75.48547193081625,38.240542999455656,-67.20042326779792,0.2222222222222222,0.0,0.8333333333333334,0.0,51.88888888888889,100.0,46.666666666666664,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xbb5905325ea3ebd3f2ecfe12e84b1b74c1cdbb1a,base,2026-05-09T14:54:09.000Z,2026-05-09T15:23:13.000Z,Unproven Wallet,25.0,15.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x4ba4ab215c75447364bae6c3f413d1ef2d227708,base,2026-05-09T14:49:37.000Z,2026-05-09T14:49:37.000Z,Unproven Wallet,25.0,15.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x42d0444a0db1ebfdb82fe04597518be38719173b,base,2026-05-09T14:40:47.000Z,2026-05-09T14:40:47.000Z,Unproven Wallet,20.0,30.0,2,1,0.0,-0.1586757922712973,-0.1586757922712973,-0.07179077032479597,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,36.333333333333336,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x9b0fe53f9506bf1b98193622570a1e236d3e20e7,base,2026-05-09T14:40:05.000Z,2026-05-09T14:40:05.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x5b674a6d06117bad8f3b33a036efabcff44568a9,base,2026-05-09T14:37:51.000Z,2026-05-09T14:37:51.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x996a3542c76da9e0f7df99aa0f12a3038563174c,base,2026-05-09T14:36:55.000Z,2026-05-09T14:36:55.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xaf951e9bf026fa86fb1a4a0c24c4c9a092ae6013,base,2026-05-09T14:36:19.000Z,2026-05-09T14:36:19.000Z,Unproven Wallet,30.0,30.0,1,1,0.0,-2.1102279563776185,-2.1102279563776185,-0.04628702918323313,0.0,0.0,1.0,0.0,0.0,0.0,33.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x82087639e7db6b1a3134e36c3656a2c5207c1691,base,2026-05-09T14:30:21.000Z,2026-05-09T14:30:21.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xb2d8c700b05437547c2eeef189e117fdf0f4442d,base,2026-05-09T14:28:19.000Z,2026-05-09T14:28:19.000Z,Unproven Wallet,38.0,30.0,2,1,1.0,1.2490545832253332,1.2490545832253332,2.819128301981408,0.0,0.25,1.0,0.0,0.0,100.0,35.5,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x70be5bdc8e7c948074c00cd11dedd553265e1514,base,2026-05-09T14:26:29.000Z,2026-05-09T14:26:29.000Z,Unproven Wallet,30.0,30.0,1,1,0.0,-6.876182322514356,-6.876182322514356,-1.097303514928452,0.0,0.0,1.0,0.0,0.0,0.0,33.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x5ec788648156b52a701ff883e543e3450987c6da,base,2026-05-09T14:26:15.000Z,2026-05-09T14:26:15.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x98df7c745c0dd9cec27734b6df19ca6b0d1588c1,base,2026-05-09T14:26:11.000Z,2026-05-09T14:26:11.000Z,Unproven Wallet,32.0,0.0,2,1,0.0,-70.24681194145376,-70.24681194145376,-538.3031310730021,0.0,0.0,0.0,0.0,35.666666666666664,0.0,9.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x7f72c44363d18f35dd48121f68b0b507ad16098f,base,2026-05-09T14:25:27.000Z,2026-05-09T14:25:27.000Z,Unproven Wallet,49.0,30.0,1,1,1.0,6.052873269264837,6.052873269264837,12.774831786064198,0.0,0.0,1.0,0.0,0.0,100.0,33.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x9a8d7cc8a92457d028afe656ced519bac7a19dcb,base,2026-05-09T14:25:11.000Z,2026-05-09T14:25:11.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xc51b211fe1f47982b27a35ad56de634d7391c206,base,2026-05-09T14:24:41.000Z,2026-05-09T14:24:41.000Z,Unproven Wallet,30.0,30.0,1,1,0.0,-14.992651780660808,-14.992651780660808,-119.851501437617,0.0,0.0,1.0,0.0,0.0,0.0,39.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x4e00c33b96aa1205e46575443ecdfe362781ad53,base,2026-05-09T14:23:07.000Z,2026-05-09T14:23:07.000Z,Unproven Wallet,60.0,30.0,1,1,1.0,140.46506329245318,140.46506329245318,66.10632928728316,0.0,0.0,1.0,0.0,0.0,100.0,33.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xb228ee6c160ecd6b6426fd51132ee6fea9cd3777,base,2026-05-09T14:22:27.000Z,2026-05-09T14:22:27.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xa54dc4425190570cb5c841adf445bbecf3b249f5,base,2026-05-09T14:21:49.000Z,2026-05-09T14:21:49.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x54e2acab04c89a3fe02852bf8dd69ee8f526bc75,base,2026-05-09T14:19:41.000Z,2026-05-09T14:40:19.000Z,Unproven Wallet,19.0,58.0,8,5,0.2,-94.61512089247567,-53.49931865701908,-277.6083221018708,0.25,0.0,1.0,0.0,0.08,100.0,52.5,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x3aff0c161ee2d096332f772a5b1733372101dfcd,base,2026-05-09T14:07:29.000Z,2026-05-09T14:07:29.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xa1596459d3a7e0bd9c838dd5ac39c94c6146ed62,base,2026-05-09T14:07:23.000Z,2026-05-09T14:07:23.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xc439cfb652ae4045a13cb6ffc855adb3de790fb4,base,2026-05-09T14:07:19.000Z,2026-05-09T14:07:19.000Z,Unproven Wallet,25.0,15.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x26f268ebea7d5eb6d478f9bf57a9c7c7bb47f490,base,2026-05-09T14:04:55.000Z,2026-05-09T14:04:55.000Z,Unproven Wallet,30.0,30.0,1,1,0.0,-10.693919008601394,-10.693919008601394,-13.313950639551678,0.0,0.0,1.0,0.0,0.0,0.0,33.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xa4cb86b79e9da2877f76cebe6fe7349790aa2f9e,base,2026-05-09T14:03:27.000Z,2026-05-09T14:03:27.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xbcb7a7863c2887be38020dc2a814bb56d9a6f397,base,2026-05-09T14:02:41.000Z,2026-05-09T14:02:41.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x3d5613f4b98bc6cb0150c5aff384f9043ecdde15,base,2026-05-09T14:02:37.000Z,2026-05-09T14:02:37.000Z,Unproven Wallet,17.0,45.0,2,1,0.0,-96.72950524929148,-96.72950524929148,-2.167966365210622,0.5,0.0,1.0,0.0,0.0,0.0,48.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x8f2693ff771a5b37da167823e126222351d60226,base,2026-05-09T14:02:33.000Z,2026-05-09T14:02:33.000Z,Unproven Wallet,25.0,15.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0xfb85ee85558edf18aebf53b9750b75dbebe74474,base,2026-05-09T14:02:07.000Z,2026-05-09T14:02:07.000Z,Unproven Wallet,27.0,23.0,2,1,0.0,-38.91818416963229,-38.91818416963229,-71.90943320723503,0.0,0.0,1.0,0.0,27.833333333333332,0.0,39.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
0x9ce0e863a666c852718345e31b2cb840f1920767,base,2026-05-09T14:01:55.000Z,2026-05-09T14:01:55.000Z,Unproven Wallet,30.0,30.0,1,1,0.0,-30.269295141182933,-30.269295141182933,-1.4252771193873386,0.0,0.0,1.0,0.0,0.0,0.0,33.0,Conservative V3 wallet score. Missing realized history keeps wallets unproven.,2026-05-09T15:29:21+00:00
